"kosong","kosong"
"didekat","antol"
"siput","belungkin"
"tidur ya","tidok i"
"sedikit","sikkit"
"terlalu banyak bertanya","alek"
"merembes","melarrah"
"ketel","ketel"
"kasihan","ibbe"
"buntat","buntat"
"habis tidak menyisakan yang lain padahal sudah ditawarkan kesemua","radda'"
"melawan arus","ngabar"
"cina","cine"
"mebazir","merusse"
"kemenyan","kemanyan"
"galau","layau"
"hitam","ittam"
"tutup","katup"
"ambil sedikit dengan ujung jari","kutis"
"awan rendah","kabut"
"menanjung","ambol"
"kata saya","jiku"
"pantau","tirau"
"belakangan","duddi"
"mengejek","ngolok"
"tidak sadarkan diri","cuttam"
"belah","piak"
"punya dia","nok ong"
"tempat air","bak"
"dahi","kanning"
"panggil","sarro'"
"berpelukan","bedakok"
"ungkapan untuk sesuatu yang wah","yak bayyak"
"ayam","ayam"
"rusak terinjak","tilepet"
"tikar yang terbuat dari anyaman sejenis pandam","belungkor"
"anak bungsu","ussu"
"seksi","seksi"
"jaksa","jakse"
"seumuran","bayyahan"
"condong","cundong"
"Tergersa-gesa","kinni-kinni"
"masak nasi","merapi"
"saya (istilah bangsawan)","kole"
"sebagai","sbagai"
"ampunilah","ampunek"
"anak ke 2","angah"
"mobil","otto"
"dapur","siyok"
"jeruk","limau"
"bila","bile"
"tidak karuan","ayap"
"jelek","cuwai"
"dodol","dodol"
"tokek","takkek"
"terlalu besar","gebo'"
"berlari cepat","lancing"
"jempol","jempol"
"berputar disekeliling kita","beselili"
"sok","berawe"
"gempur","gampor"
"bergelimang","gelimang"
"bagaimana","gimane"
"kadaluwarsa","gawak"
"suka","suke"
"gila","babang"
"mendorong dan mengerang untuk mengeluarkan sesuatu di dalam perut(melahirkan; berak, dll)","ngajjan"
"cowok selow","biak ligau"
"lamban dalam memahami sesuatu","babal"
"bibi","mak tuak"
"aqiqah","bekekah"
"cuma","cumme"
"melotot","cinnat"
"jendela","pelenggokan"
"menciummu","nyium kau"
"gula merah","gule merah"
"koyak-koyak","rambau"
"saya bilang","jikku"
"bakul","bakol"
"kantuk","ngantok"
"jepang","japang"
"miskin","sontok"
"kumpulkan","kummo'"
"wajah yang kotor oleh arang, lumpur","simoreng"
"tenggorokan","kerungkongan"
"merawankan hati","haru"
"isi","issek"
"butiran padi dalam beras","antah"
"berjalan tegap","ngebeng"
"tidak bisa diam","ngelatap"
"dibawah","dibawah"
"payudara","susu"
"panci","appan"
"montok","jambal"
"macam","macam"
"malu","suppan"
"perilaku","kelakonan"
"tidak terlihat","daan nampak"
"membuka","mbuka'"
"baik hati","baik"
"laris terjual","laku"
"lampu senter","sentar"
"kuliah","kuliah"
"menyelip","nyallik"
"basah","basar"
"santai","golek"
"abad","abad"
"gegar","gaggar"
"mengerang","ngarrang"
"ular","ular"
"penyakit yang diderita oleh kaum wanita yang pernah melahirkan yang biasanya sakitnya diperut","meroyan"
"jemuran pakaian","assaian"
"putih","puteh"
"harus","wajib"
"beras","barras"
"rapatkan, kunci","takat"
"berjumpa","bejumpe"
"mau pergi kemana","nak kemane"
"ketumbar","ketumbar"
"rampok","rampok"
"sekeluarga","nak beranak"
"besok","isok"
"tidak bisa melihat","daan bise meliat"
"tidak pernah bosan","berantu"
"giwang","bonel"
"mengumpulkan","himpun"
"bersamaan","seratte"
"kepah","kappah"
"menyusul","nyussol"
"dapat","dapat"
"mati","mati"
"bau bangkai","bunto'"
"bisa","bise"
"kabarnya","kabarnye"
"kuping dempet","kepet"
"orang atau anak","anak"
"mulas","sakit parut"
"berbicara asal-asalan","ngerape'k"
"jahat","jahhat"
"curang","ngakal"
"kekuatan","kekuatan"
"sejenis kucing","benturun"
"Terhuyung-huyung","meper"
"ngorok","nyangor"
"kaleng","canting"
"temani lah","ulokkan lah"
"sempit","alik"
"berdenyut","bedannyot"
"berdiam diri dalam rumah","matak"
"keluar masuk dari tempat","jolor-padat"
"cucu","buyut"
"akan","na'"
"kelakuan","faal"
"menangkap","nagkap"
"disekolah","disekolah"
"hangus","rattong"
"kurang sehat","kurang sehat"
"ini","ittok"
"lagi banyak","mussem"
"nenen","nenen"
"rambut tidak terurus","ngrappang"
"lagu","lagu"
"temen","kawan"
"nama kue","kelappon"
"pabrik","pabrek"
"sebuah","sebuah"
"kedipan mata","birip-birip"
"baju bayi","lamping"
"rusak","rusak"
"kehabisan segalanya","kompe'"
"jaringan","jaringan"
"tirai","tirai"
"wanita","perempuan"
"tendang","pantong"
"berdandan","mesen"
"musim","munsem"
"perawan","perawan"
"tahu diri","ngadar"
"salah satu makanan berbahan dasar sagu","lempeng"
"vagina","puke'"
"sama","same"
"kedalaman air di atas kepala","lampus"
"parang","parang"
"kira","kire"
"tentang","tentang"
"makan lauk atau sesuatu dalam jumlah banyak","ratah"
"akur","akor"
"selamat","selamat"
"gosong","rattong"
"mengompol","tebubok"
"contoh","contoh"
"beludru","beludru"
"bocor","passok"
"sampai","jajak"
"rewel","bongka'"
"teater tradisional","bedande'"
"pesan","passan"
"pesek","piccak"
"petai","patai"
"banyak sekali","belampar"
"mulas","mullas"
"mengangkang","ngangkang"
"serbuk","bubbok"
"untung banyak","congkoy"
"tidak berdaya","tekulai"
"ramah","ramah"
"menepis","nappis"
"ganteng","aksi"
"telusuri","jelujjor"
"dekat","dakkat"
"segini","segitok"
"jatuh","bellabbik"
"comberan","ciringan"
"aneh","endah"
"mereka","biak"
"tiba","tibe"
"injak","kaccak"
"menyumpah","la'nat"
"kaki seribu","entigik"
"memarahi","marahhe'"
"ukuran","takarran"
"kamu","nikke"
"Pelan-pelan","muppok"
"rindu","salok"
"angkat","angkat"
"sekarang kau","kinitok kau"
"cerai","carrai"
"maksu","maksu"
"cabai","cabek"
"angkuh","kerewak"
"ribut","gadoh"
"lecet","liccak"
"membabi buta","nekat"
"gila","ayap"
"kiasan untuk orang yang selingkuh / main serong","bekanda'"
"sepupu","petunggalan"
"anak","anak"
"mulai","mulle"
"bh","kotang"
"mengadakan","ngadekan"
"membaca","mace"
"pantai","pantai"
"goreng","goreng"
"berbunyi nyaring","belampang"
"lambang kekuatan","bantellan"
"licin","lannyum"
"genit","lanjit"
"tergeletak","tiledak"
"meluncur lamban","damal"
"hamba","hambe"
"menekan dengan ujung jari","piccik"
"bersetubuh","agek geye"
"imam","imam"
"kurang","kurang"
"cegah","caggah"
"langsung saja","pugekan"
"susah juga","payah juak"
"bersihkan dengan air","gurrahe'"
"duduk dengan meluruskan kaki","kajjong"
"menerkam","gerammus"
"intik","nilik"
"12","12"
"degel","ngaliek"
"sambas","indonesia"
"cerita rakyat sejenis McGyver","kucup"
"tidak akan","inda' dallap"
"sombong","kerewak"
"keperluan","hajat"
"telat","tallat"
"cembung","mukkong"
"bangga","bangge"
"kutang","kotang"
"kopi","kopi"
"kira","nujjum"
"menarik","narik"
"menyembur","murras"
"tercebur","cabbor"
"nanti","kalak"
"makan dengan lahapnya","nale"
"menangkap ikan dengan tangan kosong","gammal"
"bodoh","babbal"
"kusut","kissut"
"ingin lagi","kanyat"
"baskom","bareng"
"bayar","bayar"
"kemana","kemone"
"kincah","kirrah"
"sekat","bandol"
"cuci piring","bebasok"
"ayah","bapak"
"semok","jambal"
"rindu","salok"
"sexy","seksi"
"bahaya","bahaye"
"kaki menendang kaki","benteh"
"100","100"
"bukan main","kan agek"
"sejenis hutan","uddas"
"tidak sama sekali","ngkoset"
"biji","butte'"
"semprong","samprong"
"besok","isok"
"tidak garing","lammau"
"berbicara kotor","incarut"
"hajar","bantai"
"kepasar","kepasar"
"kentang","kantang"
"kerongkongan","kerungkongan"
"segar","gase"
"korek api kayu","marirang"
"tempat kerja tukang besi","bangsal"
"motor air","motor ae'"
"anus","jubor"
"rasa kurang enak karena terjadinya suatu pembatalan","asa'"
"tidak main-main","singinyan"
"Betulkah","inyanke"
"tunggu sebentar","dolok we dolok"
"hantam","lanjutkan"
"datuk","datok"
"pelet","pelet"
"bau busuk badan","bangam"
"kayu lunak dan ringan","gabus"
"siapa","sape"
"melotot","cinat"
"bopeng","borek"
"gadis perawan","nak dare"
"soalnya","soalnye"
"mengeras","najjing"
"tuli","tule'"
"tempat tidur","rasbang"
"kandang","raban"
"apa nya","ape nye"
"senggama","kentot"
"maut","maot"
"budak budak","biak"
"mengada-ada","ngeramput"
"cakep","ganteng"
"disana","innun"
"dungu","bodo"
"kue","tambok"
"menemani","ulokkan"
"mainkan","ngajjalkan"
"derai","darrai"
"terompah","capal"
"menyakitkan","nyakitte'"
"masuk kedalam","madat"
"orang tua dari menantu","besan"
"biar saja","alekan"
"pemimpim","pemimpin"
"mengeluarkan muatan","munggah"
"selesai","hattam"
"burung besar","gorde"
"benar-benar tidak setuju","besumpik"
"lebih","labeh"
"sehingga","sehingge"
"menang","manang"
"senyum","ngidum"
"tempeleng","belampang"
"disini","disitok"
"diejek","olok-olokan"
"gigi","gigi"
"lengket sekali","ngancing"
"ayam katte","ayam danna'"
"renggang","jarang"
"seburing","seburing"
"dijalan","dijalan"
"menyusui","nennen"
"bengek","sussut"
"mubazir","meruse"
"sesat akal","babbang"
"menanam padi","nandor"
"mengarak","ngarak"
"terselip","nyompel"
"pelita","pelitte"
"dimana","dimane"
"kiri","kere'"
"kesini lah","kesitok lah"
"lebih dari biasanya ; sangat banyak","belle"
"toleh","kalleh"
"suara mengganggu","bissing"
"g","g"
"sebenarnya","innyan"
"berantakan","betaboran"
"kirain","kire be"
"loreng","lorek"
"menyelam","nyallam"
"lewa","lalu"
"bergantian","belale'"
"tipis","pippeh"
"tidak sabar","daan sabar"
"berhantu","berantu"
"pantat yang besar","tonggek"
"sentuh","jawel"
"sembur","burras"
"menaikkan alis mata","ngijjat"
"makan tanpa nasi","beratah"
"menekan dengan kuat","hannyak"
"acara selamatan anak kecil sebagai tanda sudah boleh main-main diluar rumah","timbang apam"
"tawari","tampah"
"sekarang kau","kinitok kau"
"jatuh tertinggal","cecer"
"laden","elon"
"pikiran tidak menentu","nyanyok"
"membelok","belok"
"lagi dimana","agek dimane"
"dong","lah"
"lelet","alon"
"selalu","nyelalu"
"kiasan untuk orang yang selingkuh / main serong","bekandak"
"tergelincir","ngeliddas"
"istirahat","istirahat"
"senter","sentar"
"kagum","kagum"
"lunak","buai"
"pelan","palan"
"minum air","minum aek"
"buppet","bopet"
"senyum tertahan","ngidum"
"berbaring","guring"
"canggung","janggal"
"air sari kelapa","legen"
"durhaka","derahke"
"makanan tradisional","bubbor paddas"
"ngak ada","sean"
"mustinya","kanda'ang"
"terjadi","tejadi"
"tidak ada","disse'"
"masih utuh","bungngas"
"membuka dengan mengiris","babbas"
"tahun","taon"
"terpotong","paggat"
"perahu","perawu"
"cacing kremi","biar"
"cucu","cucco'k"
"semangat","semangat"
"pilek","kalinsamme"
"longgar","gelebor"
"dibawah","dibawah"
"bahagia","bahagie"
"berteriak sekeras-kerasnya","ngeraok"
"acap kali","sidaddang"
"tersenggol setan","ketaggoran"
"buah","igge'"
"kuning indah","kunning"
"berfikir","bepiker"
"tamat","hattam"
"jolong jolong","nyulong"
"sama saja","baddu"
"nama hewan laut","belangkas"
"hidung","iddong"
"posisi terbalik","tongkeng"
"menangkis","nangkis"
"kemudian","lantas"
"bergantian","belalle'"
"insanak","sanak saudara"
"pagar penghalang untukmenghambat pergerakanbayi (anak kecil) agar tidakkeluar rumah","addak"
"mengayunkan parang","nibbak"
"rumput","rumput"
"banyak bertanya","alek"
"batu","botu"
"bau air kencing kering","passing"
"istana","istane"
"imut","cerammut"
"tidak utuh atau hilang sebagian karena pecah","simpak"
"ribut seperti orang gaduh","hingar"
"tidak ada","koset"
"komplit","komplet"
"sembunyi","betappor"
"batuk keras","betakol"
"bungkuk","bungkok"
"katak","katak"
"cukai","cukkai"
"luka atau koyak yang besar","royah"
"handuk","andok"
"walang","balang"
"lari cepat terburu-buru","laggat"
"kerang","karang"
"bisu","awa'"
"baskom","baskom"
"memang begitu adanya","bande ja'"
"bukan","bukkan"
"amplop","amplok"
"tidak usah, jangan","sodah"
"menular","jangkit"
"siang","tangahari"
"tunas ilalang","buttoh lalang"
"teriak","ngeraok"
"banyak bintik","geruttu'"
"setengah hati","kepalang"
"cambuk","rimpat"
"coreng moreng","moreng"
"mukena","undong-undong"
"kata yang dalam keadaan tertentu menunjukkan kekaguman","cobelah"
"terus-terusan","bejabu"
"nama burung","uncik"
"gergaji","penggesek"
"mencarimu","nyarek kau"
"harapan","arap"
"games","games"
"hp","hp"
"agak","rasenak"
"membayar","barai"
"jenis nyamuk","agas"
"sudah tau","dah tau"
"utin","utin"
"tangan","tangan"
"ayat","ayat"
"artinya","artinye"
"menjalar","nyalar"
"tempat menyimpan barang pecah belah","arra'"
"berhias","mesen"
"tudung saji","intudong"
"berubah","berubah"
"perempatan","simpang ampat"
"gila","gille"
"apa","ape"
"rokok","rokok"
"dengki","dangki"
"wawan","wawan"
"tiap","tiap"
"sangat hancur","teburai"
"tembem","lampam"
"kau dimana","kau dimane"
"kamar","garrai"
"ingkar","ingkar"
"siap","siap"
"zaman dahulu kala","ne' kerepon"
"jendela","penjawan"
"bebek","itik"
"pipis","kanncing"
"jenggot ayam","baok"
"kesana kemari","kuluk kilik"
"akhirnya","akhirnye"
"saling tabrak","beruddu"
"dipentaskan","dipentaskan"
"ia","die"
"terasa","terase"
"bujang","bujang"
"suara burung","kong"
"tv","tepi"
"hasil olahan karet berupa lembaran berbentuk","gatah"
"telungkup","telungkup"
"serah terima","mulang-memulangkan"
"kasur","rasbang"
"pakaian","pakaian"
"selesai","calle'"
"peluk","dako'"
"gundul","gondol"
"mengambil nasi","kaot"
"cibir","cabbi'"
"sakit perut","mantak"
"repot","gadoh-gadoh"
"meriam mainan dengan bahan bakar minyak tanah atau karbit.","lagum"
"mangkir","mangker"
"cantik","cerammut"
"punggung","belakang badan"
"terbolak-balik","tebelungking"
"mangkuk tempat minum","cawan"
"tidak kemana-mana","merannah"
"upil","tae' iddong"
"ketaman","ketaman"
"harimau","harimau"
"ketela","bandong"
"sekali telan","bedangngam"
"tidak tanya","daan nanyak"
"penyakitan","dadek""an"
"penyakitan","dade'an"
"lingsir","melorot"
"vc","vc"
"detergen","rinso"
"panen padi","beranyi"
"memangnya","memangnye"
"namun","namun"
"gisul","tukkak"
"butuh","butoh"
"capung","incibi'"
"muncul","nyongol"
"dorong","dorong"
"tertawa terbahak-bahak hingga tak terkontrol","ngakkal"
"larut malam","dalu"
"kecebong","mure'"
"kacau balau","nyanyok"
"coret moret","boseng"
"khawatir","khawater"
"nyocor","cocor"
"encek","ayah"
"ngomong jorok","incarut"
"mengunyah","ngunggis"
"arung","arong"
"rasanya","rasenye"
"kejar","alau"
"sekarang pak","itok pak"
"tidak bisa diam","interutup"
"celana pendek","kolor"
"ikan gabus","ikan ruan"
"berisik","ingngar"
"uraikan","beber"
"kualat","tulah"
"ternyata","rupenye"
"kepala","palak"
"dari mana","dari mane"
"sakti","keramat"
"danau","danau"
"kasus","kasus"
"apa","ape be"
"pukul","badap"
"tidak berisi","kumping"
"coba lagi","cobe agek"
"kulit benjol karena keringat","basal"
"roboh","rubboh"
"ejek","ngolok"
"si","si"
"gertak","gap"
"pecah (akibat terjatuh atau tertimpa)","rammok"
"rezeki bagus","heng"
"jijik","gatti'"
"linglung","lingngau"
"telinga berdengung","panne"
"mencampur dan menga-duk utk membuat kue, dsbadukan bahan-bahan pem-buat kue (gula, tepung, air,telur, mentega dll)","adon"
"perkataan yang menjelekkan orang lain tanpa bukti","fitnah"
"sebuah ungkapan yg digunakan untuk bersumpah","busong"
"alo' galing","alo'"
"lebar","lebar"
"jepit","kapik"
"bergetar","begajjik"
"rambut sudah banyak lepas","langngar"
"dekat itu","antol iye"
"punyanya","no'ong"
"tas","ittas"
"ngompol","tibubbok"
"isitilah yang memiliki makna terllalu berlebihan, contoh (usah cantek gilak : jangan terlalu cantik)","gilak"
"luar biasa","belle"
"peragaan","meragekan"
"harus","harus"
"kulit","kullik"
"bau tak sedap","apak"
"gereja","gereje"
"selalu","tolen"
"menonton","nonton"
"ranting","ranting"
"menggigit","giggit"
"ban","ban"
"salah","salah"
"serupa tapi tak sama","imbas"
"anda","direk"
"botak","sulah"
"coba","tarrai"
"memuliakan","hormat"
"supaya","supaye"
"lagi buat apa","agek buat ape"
"tersedia","tersedie"
"kesayangan","kesayangan"
"cendawan","kullat"
"terkam","kerabbok"
"memanjat","manjat"
"nama pisang","bodol"
"ya","iye"
"mempertanyakan","nanyakkan"
"moyang","dato'"
"mengikuti","ngikutek"
"tua","tue"
"di takdirkan","kanak takderkan"
"kapan","bile"
"heran","medo"
"getar","gantar"
"ikuti","ikutek"
"lekas","lakkas"
"seribu karung padi","koyan"
"iya","aok"
"segan","saggan"
"berkerut karena dingin","kassat"
"ramai orang","bejibun"
"mata melotot","tecinat"
"muncul","congol"
"lelaki","biak laki"
"omong-omong","kelakar"
"pencet","picik"
"ampas","sakkar"
"comot/banyak nasi di pipi/bibir","semoreng"
"habis","abis"
"bagaimana","gai mane"
"ke sawah","kumme"
"jerat","jarrat"
"berjalan cepat","neter"
"lah ya","lah i"
"peramah","peramah"
"punya ku","no' ku"
"ha","ha"
"bercerita","bekesah"
"boneka","anakkan"
"jalan-jalan","pelasser"
"mau maunya","jareh"
"anak nomor dua","anngah"
"malam","malam"
"di dekat","antol"
"banyak sobekan","rambau"
"bau keringat","angit"
"cerobong","corong"
"melakukan hubungan seksual","berancik"
"anjang","sebutan panggilan"
"memukul punggung dengan tangan digenggam.","tagum"
"babak belur","bunynyo'"
"berhenti-henti","beranti-ranti"
"bayar","baray"
"tajam","tajam"
"dari mana","dari mane"
"lain","bede"
"pemarah","pemarah"
"makanan jajanan","cuccor"
"racun","racun"
"alat orah raga berbentuk piring","cakram"
"sesuatu yang disampaikan","antaran"
"tau","tau"
"keturunan","bakke"
"ikut","ikut"
"orang tua","urang tue"
"jongkok","jerungkong"
"mendidih","menideh"
"dill","dill"
"berjanji","bejanji"
"potongan pinggiran","simper"
"bekerja sangat keras","gancang"
"tahi lalat","paddok"
"macet","macet"
"lelah","kappa'"
"paman","pak tuak"
"sultan sambas sejak dulu sudah berpesan,jaga lah anak bini nanti di makan zaman","sultan sambas daro dolok udah bepasan jage anak bini kalak dimakan zaman"
"kenapa kamu kok gitu","ngape aku tang geye"
"timbus","jurrus"
"begini","getok"
"tidak mudah patah","liat"
"makan sampai puas","bontas"
"atap terbuat dari daun","kajang"
"membuat sesuatu yang berkaitan dengan memperbaiki","nukkang"
"satu","sigge'"
"orang ganteng","biak ganteng"
"terpancang","ticancang"
"sekolah","sekolah"
"culik","cullik"
"ambil dari bawah","caok"
"nasi","nasek"
"talenan","kude kude"
"tidak dapat diandalkan","babo'"
"mandi pengantin","mande; belullus"
"atap daun","belinsa'"
"kampung","kampong"
"bersama","seratte"
"seperti","bagainak"
"nyusul","nyusol"
"cari","care'"
"sudah bersuami","belaki"
"makning","makning"
"tidur","tidok"
"ingat","ingat"
"membuat suasana menjadi kurang baik, kurang harmonis","ngabutte' ae'"
"sekitar","sekitaran"
"aktif","aktif"
"bercari","becarek"
"sungguh terlalu","kelaluan"
"kepala","kapalak"
"dadar","dadar"
"bro","wak"
"merangkum","ngambau"
"terhadap","teradap"
"menggambar","nyonteng"
"mampu","rabbah"
"keyakinan","keyakenan"
"panggilan yang biasanya digunakan untuk anak kelahiran ke-1 (sulung)","along"
"tahan","kabbal"
"bahasa","bahase"
"kaget","tikajjut"
"terburu-buru","gopoh"
"terasa panas","berau"
"kerudung","keruddong"
"bro","ho"
"leher","tige'"
"mangkuk","mangkok"
"perintah","perintah"
"kesal","kassal"
"ok","ok"
"nanam padi","nandor"
"sekarang","kini ito di"
"gencar","gancar"
"menikah","nikah"
"terbang","terabbang"
"malu karena salah","kasang"
"bapak","bapak"
"gemuk dan bulat","labbak"
"sekarang ini","kinnito'"
"bergosip","ngerumpi"
"tersedia","tersedie"
"makanan","makanan"
"tidak peduli","ndak peduli"
"bandar judi","bandar"
"menahan sesuatu agar tidak bergerak","raggang"
"memukul","belabbau"
"penyedih dan sangat mudah mengeluarkan air mata","memmeran"
"cakram","cakram"
"deman flu dan pilek","kalingsamme"
"kawan","kawan"
"harus dimakan","kimponan"
"gembira","kesuka'an"
"menyemai","nyammai"
"lusuh","kotor"
"gunung","gunnong"
"jalan-jalan","begayau"
"timbangan","dacing"
"makan dengan nafsu","lantak"
"mengapa","ngape"
"petai","pattai"
"korek","korek"
"datang","datang"
"baring","gurring"
"bersih","laccoh"
"kuat","kuat"
"kasian orang jomblo, nonton film sendiri","kasian urang jomblo, nontom pelam sorang"
"iba","ibbe"
"brengsek","brengsek"
"lauk pauk","laok"
"Mkn","Mken"
"b","b"
"nama burung","bubbut"
"kuat","kancang"
"menggoda","ngurrat"
"kemaluan lelaki","paler"
"nama kue","gayam"
"cambang","cambang"
"sanggup","kuwawe"
"susah juga","payah juak"
"mangrove","batang api api"
"status belum kawin","bujang"
"awal","dini"
"menggelepar di air","ngelebok"
"berjalan beriring","beririk"
"berkelahi seperti kucing,ribut sekali","becakkak"
"sendal","selepar"
"dilarang agama","haram"
"lah","dibbe"
"rugi","rugi"
"waduh","adoh"
"perbaiki","battolek"
"cuman","cuman"
"lentik","lantek"
"gemuk berisi","kaccal"
"temani","ulokkan"
"alas","lapik"
"pening","ngallu"
"aduk","adok"
"meletup","melatup"
"memberikan pujian","mujji"
"udahlah","udahlah"
"kemaren","simari"
"sifat kegila-gilaan","bale"
"denda","dande"
"tempat","tampat"
"puaka","puake"
"bermimpi","mimpi"
"gelut","gallut"
"hewan","binatang"
"nasib jelek","kissas"
"ningkap","tiarap"
"remote","remot"
"berbicara kotor (tentang sex)","incarut"
"tidak ada","sian"
"ikutkan apa maunya","tuloikan"
"enau","belullok"
"kata hubung, penekanan sebuah pernyataan, pertanyaan","di"
"berita","berite"
"ujung-ujungnya","rapokan"
"berilmu","amallan"
"susah","ngallu"
"terjatuh","tejerambab"
"menempel","njakkut"
"leleh","leleh"
"debu","dabbu"
"menanjak","nanjak"
"terima","nerima'"
"melamun","teconom"
"dengan","dangan"
"sejenis pisau","bade'"
"maju","maju"
"jalan pintas","mbruntas"
"kemeja","hem"
"bawah","bawah"
"korek api gas","macces"
"terus-menerus menemui","besundang"
"tadi","tadek"
"tidak dapat berbuat apa-apa","galle"
"room","room"
"menyimpan","naroh"
"petak atau luas","biddang"
"pecah","paccah"
"lembab","ambab"
"tangan tak bisa diam dan kadangkala suka merusak","ajallan"
"lihat saya","liat saye"
"simpan","simpan"
"mela","mela"
"cepetan","capat sikit"
"sendok","sudo'"
"ngamuk","ngamok"
"rupa","rupe"
"belanja","belanje"
"menyatakan tidak mungkin/tidak dapat/mustahil","paik do'"
"begitu","gai ye"
"putus","paggat"
"bermain di air parit atau sungai tenggelam dalam kubangan atau lumpur","matak"
"mulus","lanyum"
"cetak","cetak"
"panggilan untuk orang yang biasanya memiliki badan rendah","andah"
"coba-coba","cobe-cobe"
"sendal","capal"
"milik","hak"
"nabrak","langgar"
"gemes","garram"
"menuaikan ibadah haji","haji"
"bertumpuk","longgo'"
"menari","joget"
"juga","gayye"
"mengada-ada","ngade ngade"
"satu ribu","seribu"
"sifat kayak jeli","ganynyer-ganynyer"
"malu karena salah, sakit hati","kasang"
"sekarang","kinni"
"geram","geriggitan"
"jatuh","belabbik"
"kadaluarsa","labbas"
"salai","nyalai"
"ndak","daan"
"membiarkan","ngaloi"
"senggama","ampek"
"menjahit","nyaik"
"nampan / berbentuk tipis dan lebar","ceper"
"kurang waras","nyannyang"
"tempat kue","mukkun"
"taruna","taruna"
"libur sekolah","libur"
"matang","masak"
"bohongnya","bulak'ang"
"bergurau","bepongah"
"panggilan untuk anak sulung","along"
"solihin","solihin"
"kantor","kantor"
"memble","lebe'"
"sejenis kue bulat dengan gula merah","kelappon"
"risau","iboh"
"buan air besar","berak"
"layang-layang yang naik bergetar","iggal"
"kemarok","kamok"
"nakal","jaye"
"bungkus","bungkus"
"sendok","sudok"
"pesawat","kapal terabbang"
"mengeluh","ngalloh"
"jantung pisang","cantong"
"hangat","angat"
"ketombe","keriah"
"tanpa","tanpe"
"haul","hol"
"mengeras","canggar"
"otak","otak"
"selang-seling","besalle"
"sumbangan sehabis puasa","fitrah"
"mempunyai","ade nyimpan"
"jadi","jadi"
"manisan","lue"
"pusing","pening"
"pelan pelan","palan-palan"
"jenggul","jandol"
"karet","gattah"
"begitulah","ao' dibe"
"miskin","miskin"
"peta","kar"
"makan dengan lahap","nyogol"
"bilang","padahkan"
"tergores","gores"
"berputar","bepussing"
"ileran","lioran"
"kangkung","kangkong"
"santri","santri"
"bongkol","mpullor"
"sejenis musang","binturun"
"rindu","salo'"
"gelar yang diberikan kepada seseorang yang doyan makan","bogoh"
"dia adalah","die we"
"mengerjakan sawah tetangga secara bergantian","belalle'"
"extra hijau","ijau-mayau"
"sarung","sarong"
"isok nak kemane","besok mau ke mana"
"memindahkan api dari daun ke daun","nyiggut"
"terkenang","tekanang"
"umur","umor"
"begitu","gaiye"
"cuaca","cuace"
"numpang tidur","numpang tidok"
"ikan masin","ikan masing"
"berbaring","belantum"
"oleh","oleh"
"menjaring","njarring"
"jijik","gattik"
"tak","indak"
"datuk","datok"
"calon","calon"
"sapu","ijjok"
"mengucur","mbobor"
"saku","kocek"
"tidak kerja","nogok"
"tanggung","alang-alang"
"padahal","kolehhal"
"mulu","tentolen"
"menggulung benang","narrau"
"keinginan besar tapi tidak didukung dengan kemampuan","berawe"
"akhirnya","akhernye"
"seandainya","ore"
"kepercayaan rakyat","burrok sikko'"
"tidak laki","lapok"
"langsung","langsong"
"harta","harte"
"utuh seperti sedia kala","bungas"
"apa arti nya","ape rati nye"
"duda","balu"
"runcing","lancup"
"itik","ittik"
"semula","mule-mule"
"akhir kehidupan","ajal"
"perlu","parlu"
"tiduran","tidok"
"boleh","boleh"
"sedap","saddap"
"sungkan","suppan"